nume,Categoria_parinte
Bauturi alcoolice,All
Fructe,All
Legume,All
Snacks,All
Cutie cadou,All
Ingrediente,All
Ambalaje,All
Cafea,All
Misc,All
Bauturi,All
Nuci,All
Ceai,All
Ciocolata,All
Bacanie,All
Dulceata,All
Fainoase,All
Miere,All
Sosuri,All
Otet Ulei,All
Zacusca,All
Tartinabile,All
Sarate,All
Cosmetice,All
