Nume,Categorie,Tip_produs,Pret,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Taxe,Taxe_achizitie,Descriere
Ciocolata neagra 70% cacao cu prune si palinca mini 40g Razvan,Ciocolata,product,11,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,112
Ciocolata Razvan 70% cacao imunitate 40g,Ciocolata,product,13.7615,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,113
Ciocolata neagra 70% cacao mini 30g Razvan,Ciocolata,product,10.0826,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,114
Cirese,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,115
Cirese amare,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,116
Cirese desamburate,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,117
Cirese galbene,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,118
Cirese negre,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,119
Cirese negre uscate 100g NativeBox,Snacks,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,120
Coacaze negre,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,121
Cos nuiele tip valiza,Cutie cadou,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,132
Cos pomana,Cutie cadou,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,133
COUVERTURE / DARK 70% / LOST IN THE JUNGLE,Ciocolata,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,136
COUVERTURE / DARKMILK 54% / LOST IN THE JUNGLE,Ciocolata,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,137
Crackers Sfecla Rosie si Morcovi 50g - NativeBox,Snacks,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,138
Cuvee Rosu 2016 Galicea mare,Bauturi alcoolice ,product,26.9406,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,139
Drojdie,Ingrediente,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,141
Dulceata cirese galbene 720g F-,Dulceata,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,145
Dulceata de afine de padure Razvan 220g,Dulceata,product,9,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,146
Dulceata de ardei iute - Jalapeno,Bacanie,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,150
