Nume,Categorie,Tip_produs,Pret,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Taxe,Taxe_achizitie,Descriere
Set 2 toiuri afinata + visinata Bran,Bauturi alcoolice ,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,392
"Set 3 Miniaturi PATER - Tuica, Struguri, Pere",Bauturi alcoolice ,product,71.4286,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,393
Set de 6 ciocolate Bean to Bar Razvan,Ciocolata,product,77.9817,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,397
Sirop mure 750ml,Bauturi,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,404
Sirop The Tonic KOFI TI 230 ml,Bauturi,product,32.1101,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,405
Sirop Tonic Herbal KOFI TI 230 ml,Bauturi,product,32.1101,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,406
Sos iute cu afine - Trinidad Scorpion Chocolate 200ml - PVI0352,Sosuri,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,409
Sos iute cu ardei - Carolina Reaper 200ml,Sosuri,product,44.0367,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,410
Sos iute cu mango - Jalapeno Jalmundo 200ml,Sosuri,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,412
Tam�ioasa Rom�neasca 2016 Galicea Mare,Bauturi alcoolice ,product,57.9832,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,416
Trio dulceata Razvan,Dulceata,product,50.4587,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,417
