Cont,Debit_initial,Credit_initial,Balanta_initiala_moneda,Moneda,State,data,ref
646000,422,0,0,RON,draft,2021-03-31,balanta mart
646000,0,422,0,RON,draft,2021-03-31,balanta mart
658100,9.26,0,0,RON,draft,2021-03-31,balanta mart
658100,0,9.26,0,RON,draft,2021-03-31,balanta mart
665100,20324.85,0,0,RON,draft,2021-03-31,balanta mart
665100,0,20324.85,0,RON,draft,2021-03-31,balanta mart
681100,2883.94,0,0,RON,draft,2021-03-31,balanta mart
681100,0,2883.94,0,RON,draft,2021-03-31,balanta mart
698000,7246,0,0,RON,draft,2021-03-31,balanta mart
698000,0,7246,0,RON,draft,2021-03-31,balanta mart
704000,86017.7,0,0,RON,draft,2021-03-31,balanta mart
704000,0,86017.7,0,RON,draft,2021-03-31,balanta mart
707000,200957.43,0,0,RON,draft,2021-03-31,balanta mart
707000,0,200957.43,0,RON,draft,2021-03-31,balanta mart
765100,4681.55,0,0,RON,draft,2021-03-31,balanta mart
765100,0,4681.55,0,RON,draft,2021-03-31,balanta mart
